measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
30,3,EK,149,500,0.5,62468,100,10,12431,1.63052
1,3,MPM,149,500,0.5,62468,100,10,12431,0.128998
2,3,MPM,149,500,0.5,62468,100,10,12431,0.12911
3,3,MPM,149,500,0.5,62468,100,10,12431,0.129101
4,3,MPM,149,500,0.5,62468,100,10,12431,0.128607
5,3,MPM,149,500,0.5,62468,100,10,12431,0.128898
6,3,MPM,149,500,0.5,62468,100,10,12431,0.128435
7,3,MPM,149,500,0.5,62468,100,10,12431,0.128836
8,3,MPM,149,500,0.5,62468,100,10,12431,0.129263
9,3,MPM,149,500,0.5,62468,100,10,12431,0.128897
10,3,MPM,149,500,0.5,62468,100,10,12431,0.129347
11,3,MPM,149,500,0.5,62468,100,10,12431,0.128689
12,3,MPM,149,500,0.5,62468,100,10,12431,0.129474
13,3,MPM,149,500,0.5,62468,100,10,12431,0.127925
14,3,MPM,149,500,0.5,62468,100,10,12431,0.129744
15,3,MPM,149,500,0.5,62468,100,10,12431,0.127814
16,3,MPM,149,500,0.5,62468,100,10,12431,0.129348
17,3,MPM,149,500,0.5,62468,100,10,12431,0.129958
18,3,MPM,149,500,0.5,62468,100,10,12431,0.128262
19,3,MPM,149,500,0.5,62468,100,10,12431,0.129311
20,3,MPM,149,500,0.5,62468,100,10,12431,0.12957
21,3,MPM,149,500,0.5,62468,100,10,12431,0.129438
22,3,MPM,149,500,0.5,62468,100,10,12431,0.128055
23,3,MPM,149,500,0.5,62468,100,10,12431,0.128115
24,3,MPM,149,500,0.5,62468,100,10,12431,0.128902
25,3,MPM,149,500,0.5,62468,100,10,12431,0.128526
26,3,MPM,149,500,0.5,62468,100,10,12431,0.128257
27,3,MPM,149,500,0.5,62468,100,10,12431,0.128391
28,3,MPM,149,500,0.5,62468,100,10,12431,0.128597
29,3,MPM,149,500,0.5,62468,100,10,12431,0.129639
30,3,MPM,149,500,0.5,62468,100,10,12431,0.128888
1,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561269
2,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0558654
3,4,Dinic,25587,500,0.5,62366,100,10,12291,0.055754
4,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0560092
5,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0562127
6,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561633
7,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561643
8,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0562259
9,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0560627
10,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561662
11,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0560986
12,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0560269
13,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561911
14,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0563433
15,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0564025
16,4,Dinic,25587,500,0.5,62366,100,10,12291,0.056455
17,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0562461
18,4,Dinic,25587,500,0.5,62366,100,10,12291,0.056271
19,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0564258
20,4,Dinic,25587,500,0.5,62366,100,10,12291,0.056061
21,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0562904
22,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561781
23,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0562226
24,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0562064
25,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0560968
26,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561305
27,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0560263
28,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561182
29,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0561369
30,4,Dinic,25587,500,0.5,62366,100,10,12291,0.0562163
1,4,EK,25587,500,0.5,62366,100,10,12291,1.6553
2,4,EK,25587,500,0.5,62366,100,10,12291,1.71908
3,4,EK,25587,500,0.5,62366,100,10,12291,1.71782
4,4,EK,25587,500,0.5,62366,100,10,12291,1.6538
